weekly_hours,coding_months,money_spent,employed_dev,career_interests,expected_salary,willing_relocate,last_year_income,age,region,education_level,field_of_study,marital_status,disability_benefits,home_internet
4.0,34.0,500.0,1,Full-Stack Web Developer,62499,Maybe,67499.0,31.0,Europe and Central Asia,Bachelor’s degree,"Fine arts or performing arts (e.g., graphic design, music, studio, art)",Married or domestic partnership,0,1
20.0,7.0,10000.0,1,Back-End Web Developer,39999,Yes,27499.0,22.0,Europe and Central Asia,High school diploma or equivalent (GED),I didn't attend a university,"Single, never married",0,1
20.0,3.0,1800.0,0,Information Security,39999,Yes,22499.0,30.0,North America,"Some college credit, no degree",I didn't attend a university,"Single, never married",0,1
10.0,30.0,200.0,1,Front-End Web Developer,62499,Maybe,67499.0,33.0,North America,"Some college credit, no degree","Another engineering discipline (e.g., civil, electrical, mechanical)",Married or domestic partnership,0,1
2.0,36.0,200.0,1,Mobile Developer,39999,No,82499.0,39.0,Europe and Central Asia,"Professional degree (MBA, MD, JD, etc.)","Another engineering discipline (e.g., civil, electrical, mechanical)",Married or domestic partnership,0,1
60.0,120.0,1000.0,0,Data Engineer,62499,Maybe,54999.0,44.0,North America,Bachelor’s degree,"Computer science, computer engineering, or software engineering","Single, never married",0,1
4.0,24.0,2000.0,0,Quality Assurance Engineer,87499,Maybe,44999.0,33.0,North America,"Some college credit, no degree",Undecided or no major,Married or domestic partnership,0,0
20.0,15.0,200.0,0,Front-End Web Developer,7499,No,5999.0,50.0,Europe and Central Asia,"Professional degree (MBA, MD, JD, etc.)","Computer science, computer engineering, or software engineering","Single, never married",0,1
2.0,24.0,100.0,1,Robotics software developer (embedded),7499,Maybe,5999.0,22.0,Europe and Central Asia,Bachelor’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)",Married or domestic partnership,0,1
6.0,5.0,100.0,0,DevOps / SysAdmin,87499,Yes,54999.0,31.0,Europe and Central Asia,"Trade, technical, or vocational training",I didn't attend a university,"Single, never married",0,1
10.0,18.0,1000.0,0,Teacher / Trainer / Developer Evangelist,62499,Maybe,1999.0,22.0,Latin America and Caribbean,"Some college credit, no degree","A natural science (e.g., biology, chemistry, physics)","Single, never married",0,1
2.0,6.0,20.0,0,Data Scientist,24999,No,5999.0,29.0,Europe and Central Asia,"Professional degree (MBA, MD, JD, etc.)","A health science (e.g., nursing, pharmacy, radiology)",Married or domestic partnership,0,1
20.0,6.0,10300.0,0,Full-Stack Web Developer,87499,No,82499.0,33.0,North America,"Professional degree (MBA, MD, JD, etc.)","A social science (e.g., sociology, psychology, political science, economics)",Married or domestic partnership,0,1
10.0,24.0,50.0,0,Full-Stack Web Developer,7499,Yes,17499.0,28.0,Europe and Central Asia,Master's degree (non-professional),Geotechnical engineering,"Single, never married",0,1
5.0,3.0,60000.0,0,Front-End Web Developer,87499,Yes,67499.0,34.0,North America,Bachelor’s degree,"Computer science, computer engineering, or software engineering",Married or domestic partnership,0,1
20.0,24.0,1700.0,0,Full-Stack Web Developer,39999,Yes,17499.0,29.0,Europe and Central Asia,Some high school,I didn't attend a university,Married or domestic partnership,0,1
40.0,2.0,0.0,0,Front-End Web Developer,39999,Maybe,3999.0,23.0,North America,Bachelor’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)","Single, never married",0,1
2.0,50.0,500.0,1,Front-End Web Developer,87499,No,67499.0,27.0,North America,Bachelor’s degree,"Computer science, computer engineering, or software engineering","Single, never married",0,1
20.0,13.0,200.0,0,Full-Stack Web Developer,15499,Maybe,3999.0,27.0,Latin America and Caribbean,Bachelor’s degree,"A social science (e.g., sociology, psychology, political science, economics)","Single, never married",0,1
10.0,34.0,9000.0,1,Full-Stack Web Developer,62499,Maybe,54999.0,37.0,North America,Associate’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)","Single, never married",0,1
2.0,67.0,0.0,0,Computer Vison Engineer,2499,I am not interested in a software development career,1000.0,27.0,Latin America and Caribbean,"Some college credit, no degree","Information systems, information technology, or system administration","Single, never married",0,1
1.0,36.0,0.0,1,Back-End Web Developer,39999,Maybe,54999.0,25.0,North America,"Some college credit, no degree",Mathematics or statistics,Married or domestic partnership,0,1
7.0,18.0,1500.0,0,Front-End Web Developer,24999,Maybe,22499.0,32.0,Europe and Central Asia,Master's degree (non-professional),"Another engineering discipline (e.g., civil, electrical, mechanical)",Married or domestic partnership,0,1
4.0,100.0,0.0,0,Back-End Web Developer,2499,No,5999.0,30.0,East Asia and Pacific,Bachelor’s degree,"Computer science, computer engineering, or software engineering",Married or domestic partnership,0,1
5.0,7.0,900.0,0,Front-End Web Developer,62499,No,67499.0,31.0,North America,Master's degree (non-professional),"A humanities discipline (e.g., literature, history, philosophy)",Married or domestic partnership,0,1
4.0,16.0,100.0,0,Data Engineer,62499,Maybe,37499.0,27.0,North America,Master's degree (non-professional),"Environmental science (e.g., earth sciences, sustainability)",Married or domestic partnership,0,1
42.0,190.0,0.0,1,Data Scientist,24999,Maybe,12499.0,35.0,Europe and Central Asia,Ph.D.,"A natural science (e.g., biology, chemistry, physics)",Married or domestic partnership,0,1
10.0,12.0,0.0,0,Data Scientist,15499,Maybe,5999.0,23.0,South Asia,Bachelor’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)","Single, never married",0,0
20.0,15.0,1000.0,1,DevOps / SysAdmin,15499,Yes,3999.0,35.0,Europe and Central Asia,Bachelor’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)","Single, never married",0,1
30.0,7.0,100.0,0,Full-Stack Web Developer,87499,Maybe,44999.0,24.0,North America,Associate’s degree,"Information systems, information technology, or system administration","Single, never married",0,1
45.0,13.0,0.0,0,Information Security,2499,Yes,8499.0,35.0,Europe and Central Asia,High school diploma or equivalent (GED),"Computer science, computer engineering, or software engineering",Married or domestic partnership,0,1
1.0,6.0,0.0,0,Data Scientist,15499,Maybe,8499.0,25.0,Europe and Central Asia,Master's degree (non-professional),"A business discipline (e.g., accounting, finance, marketing)","Single, never married",0,1
25.0,40.0,25.0,1,Back-End Web Developer,112499,Yes,17499.0,28.0,North America,Master's degree (non-professional),"Information systems, information technology, or system administration","Single, never married",0,1
12.0,4.0,7750.0,0,Full-Stack Web Developer,87499,No,67499.0,29.0,North America,Bachelor’s degree,"Fine arts or performing arts (e.g., graphic design, music, studio, art)","Single, never married",0,1
5.0,36.0,30.0,1,Technical Project Manager,39999,Maybe,37499.0,25.0,Europe and Central Asia,Bachelor’s degree,"Computer science, computer engineering, or software engineering",Married or domestic partnership,0,1
10.0,17.0,500.0,1,Full-Stack Web Developer,7499,Yes,3999.0,30.0,Europe and Central Asia,Master's degree (non-professional),"Computer science, computer engineering, or software engineering",Married or domestic partnership,0,1
15.0,36.0,1300.0,0,Information Security,142499,Maybe,67499.0,37.0,North America,Master's degree (non-professional),"Information systems, information technology, or system administration",Married or domestic partnership,0,1
2.0,2.0,25.0,0,DevOps / SysAdmin,39999,Yes,32499.0,28.0,North America,Bachelor’s degree,"A humanities discipline (e.g., literature, history, philosophy)","Single, never married",0,1
12.0,3.0,1000.0,0,Full-Stack Web Developer,2499,Maybe,32499.0,32.0,Southeast Asia,Bachelor’s degree,"A humanities discipline (e.g., literature, history, philosophy)",Married or domestic partnership,0,1
10.0,14.0,300.0,0,User Experience Designer,62499,Yes,37499.0,26.0,Europe and Central Asia,Bachelor’s degree,"A humanities discipline (e.g., literature, history, philosophy)","Single, never married",0,0
0.0,36.0,0.0,0,Data Scientist,24999,Maybe,22499.0,28.0,Europe and Central Asia,Master's degree (non-professional),Mathematics or statistics,"Single, never married",0,1
20.0,30.0,200.0,0,Full-Stack Web Developer,39999,Yes,67499.0,44.0,Europe and Central Asia,Bachelor’s degree,"A natural science (e.g., biology, chemistry, physics)",Married or domestic partnership,0,1
3.0,36.0,10000.0,1,Front-End Web Developer,62499,Maybe,54999.0,32.0,North America,Bachelor’s degree,"A humanities discipline (e.g., literature, history, philosophy)","Single, never married",0,1
10.0,96.0,0.0,0,Data Scientist,112499,Maybe,82499.0,36.0,North America,Bachelor’s degree,"A business discipline (e.g., accounting, finance, marketing)",Married or domestic partnership,0,1
15.0,312.0,10000.0,1,full stack/mobile/quality/data/infosec/teacher,142499,No,139999.0,50.0,North America,"Some college credit, no degree",Spanish/CompSci,Married or domestic partnership,0,1
30.0,3.0,30.0,0,Back-End Web Developer,87499,Maybe,12499.0,35.0,Sub-Saharan Africa,Bachelor’s degree,"A business discipline (e.g., accounting, finance, marketing)","Single, never married",0,0
3.0,6.0,0.0,0,Full-Stack Web Developer,62499,Maybe,12499.0,24.0,Europe and Central Asia,Bachelor’s degree,"A business discipline (e.g., accounting, finance, marketing)","Single, never married",0,1
5.0,24.0,0.0,0,"DevOps, Information Security and Back-End ",39999,Maybe,12499.0,22.0,North America,"Some college credit, no degree","Computer science, computer engineering, or software engineering","Single, never married",0,1
8.0,1.0,0.0,0,Full-Stack Web Developer,7499,Yes,3999.0,33.0,Latin America and Caribbean,High school diploma or equivalent (GED),"A social science (e.g., sociology, psychology, political science, economics)",Married or domestic partnership,0,1
6.0,28.0,9000.0,1,Full-Stack Web Developer,2499,Maybe,12499.0,26.0,Latin America and Caribbean,"Some college credit, no degree","Computer science, computer engineering, or software engineering",Married or domestic partnership,0,0
10.0,48.0,49.0,1,Data Scientist,2499,Yes,1999.0,26.0,Sub-Saharan Africa,Bachelor’s degree,Mathematics or statistics,Married or domestic partnership,0,0
10.0,3.0,900.0,0,Front-End Web Developer,39999,Yes,22499.0,25.0,North America,"Some college credit, no degree","Environmental science (e.g., earth sciences, sustainability)",Married or domestic partnership,0,1
15.0,6.0,4200.0,0,Front-End Web Developer,87499,No,104999.0,45.0,North America,Bachelor’s degree,architecture,Married or domestic partnership,0,1
2.0,36.0,19000.0,1,Front-End Web Developer,62499,Maybe,54999.0,27.0,North America,Bachelor’s degree,"A social science (e.g., sociology, psychology, political science, economics)",Married or domestic partnership,0,1
30.0,9.0,800.0,0,Full-Stack Web Developer,87499,Maybe,104999.0,35.0,North America,"Professional degree (MBA, MD, JD, etc.)","A business discipline (e.g., accounting, finance, marketing)",Married or domestic partnership,0,1
2.0,400.0,78.0,1,Teacher / Trainer / Developer Evangelist,62499,No,82499.0,63.0,North America,Associate’s degree,Undecided or no major,Married or domestic partnership,0,0
15.0,75.0,0.0,1,Full-Stack Web Developer,15499,Yes,12499.0,23.0,South Asia,Bachelor’s degree,"Information systems, information technology, or system administration","Single, never married",0,1
8.0,36.0,350.0,1,AI/ML Robotician,24999,Maybe,17499.0,27.0,Europe and Central Asia,"Professional degree (MBA, MD, JD, etc.)","Computer science, computer engineering, or software engineering","Single, never married",0,1
5.0,48.0,12000.0,1,Full-Stack Web Developer,62499,Maybe,104999.0,29.0,North America,Bachelor’s degree,"A social science (e.g., sociology, psychology, political science, economics)","Single, never married",0,0
4.0,48.0,300.0,0,Full-Stack Web Developer,62499,No,54999.0,44.0,North America,"Some college credit, no degree","Computer science, computer engineering, or software engineering",Married or domestic partnership,0,1
5.0,36.0,1000.0,0,Front-End Web Developer,62499,No,12499.0,34.0,Sub-Saharan Africa,"Professional degree (MBA, MD, JD, etc.)","A business discipline (e.g., accounting, finance, marketing)","Single, never married",0,1
50.0,122.0,20000.0,1,Game Developer,112499,Yes,1999.0,32.0,Latin America and Caribbean,Bachelor’s degree,"Computer science, computer engineering, or software engineering","Single, never married",0,1
10.0,1.0,0.0,0,Front-End Web Developer,2499,Maybe,1000.0,40.0,Europe and Central Asia,"Some college credit, no degree","A health science (e.g., nursing, pharmacy, radiology)",Married or domestic partnership,0,1
30.0,12.0,250.0,0,Back-End Web Developer,62499,Yes,32499.0,40.0,North America,High school diploma or equivalent (GED),I didn't attend a university,Married or domestic partnership,0,1
4.0,24.0,200.0,0,Full-Stack Web Developer,87499,Yes,1999.0,19.0,Europe and Central Asia,High school diploma or equivalent (GED),I didn't attend a university,"Single, never married",0,1
20.0,60.0,400.0,1,Full-Stack Web Developer,87499,Yes,5999.0,20.0,North America,High school diploma or equivalent (GED),"Computer science, computer engineering, or software engineering","Single, never married",0,1
15.0,36.0,0.0,1,Full-Stack Web Developer,2499,Maybe,1999.0,22.0,South Asia,"Trade, technical, or vocational training","Computer science, computer engineering, or software engineering","Single, never married",0,1
30.0,12.0,0.0,0,Data Scientist,2499,Yes,1000.0,23.0,Latin America and Caribbean,Some high school,"Information systems, information technology, or system administration","Single, never married",0,1
1.0,24.0,50.0,0,Data Scientist,62499,I am not interested in a software development career,104999.0,27.0,North America,Bachelor’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)","Single, never married",0,1
10.0,20.0,20000.0,1,Quality Assurance Engineer,7499,Yes,1000.0,22.0,South Asia,Bachelor’s degree,"Information systems, information technology, or system administration","Single, never married",0,1
15.0,30.0,50.0,1,Full-Stack Web Developer,62499,Yes,44999.0,30.0,North America,"Some college credit, no degree","Another engineering discipline (e.g., civil, electrical, mechanical)",Married or domestic partnership,0,1
5.0,36.0,0.0,1,Back-End Web Developer,62499,Yes,54999.0,31.0,North America,"Some college credit, no degree","A business discipline (e.g., accounting, finance, marketing)","Single, never married",0,1
6.0,7.0,300.0,0,Game Developer,62499,Maybe,44999.0,24.0,North America,Bachelor’s degree,"A social science (e.g., sociology, psychology, political science, economics)","Single, never married",0,1
20.0,14.0,13500.0,0,Full-Stack Web Developer,62499,Yes,22499.0,41.0,North America,Bachelor’s degree,"A social science (e.g., sociology, psychology, political science, economics)","Single, never married",0,1
5.0,48.0,250.0,0,Back-End Web Developer,87499,Yes,67499.0,29.0,North America,Master's degree (non-professional),"Another engineering discipline (e.g., civil, electrical, mechanical)","Single, never married",0,1
5.0,12.0,0.0,0,Data Scientist,87499,Maybe,,16.0,North America,Some high school,I didn't attend a university,"Single, never married",0,1
5.0,12.0,800.0,0,Mobile Developer,39999,Maybe,5999.0,33.0,Europe and Central Asia,"Some college credit, no degree","A humanities discipline (e.g., literature, history, philosophy)",Married or domestic partnership,0,1
5.0,14.0,11000.0,1,Back-End Web Developer,87499,Yes,12499.0,25.0,North America,Bachelor’s degree,"A social science (e.g., sociology, psychology, political science, economics)","Single, never married",0,1
15.0,36.0,300.0,0,Full-Stack Web Developer,62499,No,22499.0,62.0,North America,Bachelor’s degree,Mathematics or statistics,Married or domestic partnership,0,1
5.0,24.0,11.0,0,Full-Stack Web Developer,62499,Maybe,32499.0,30.0,North America,Bachelor’s degree,"A social science (e.g., sociology, psychology, political science, economics)","Single, never married",0,1
5.0,3.0,0.0,0,DevOps / SysAdmin,62499,Yes,32499.0,28.0,North America,Bachelor’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)","Single, never married",0,1
25.0,24.0,800.0,0,Full-Stack Web Developer,39999,No,67499.0,39.0,Europe and Central Asia,"Trade, technical, or vocational training",I didn't attend a university,"Single, never married",0,1
30.0,2.0,0.0,0,I'm not sure yet,62499,No,54999.0,26.0,North America,Bachelor’s degree,"A natural science (e.g., biology, chemistry, physics)",Married or domestic partnership,0,1
10.0,15.0,0.0,0,I am not interested in a software development career,2499,I am not interested in a software development career,37499.0,66.0,Europe and Central Asia,"Trade, technical, or vocational training","Another engineering discipline (e.g., civil, electrical, mechanical)",Divorced,0,1
4.0,60.0,250.0,1,Full-Stack Web Developer,62499,No,12499.0,23.0,Southeast Asia,Bachelor’s degree,"Computer science, computer engineering, or software engineering","Single, never married",0,0
20.0,24.0,600.0,1,Front-End Web Developer,87499,No,5999.0,34.0,North America,Bachelor’s degree,"A humanities discipline (e.g., literature, history, philosophy)",Separated,0,1
2.0,72.0,400.0,1,Front-End Web Developer,39999,No,32499.0,30.0,Europe and Central Asia,Bachelor’s degree,"Information systems, information technology, or system administration",Married or domestic partnership,0,1
2.0,24.0,500.0,1,I am not interested in a software development career,62499,Maybe,67499.0,40.0,Europe and Central Asia,Bachelor’s degree,"Computer science, computer engineering, or software engineering","Single, never married",0,0
12.0,11.0,0.0,0,Front-End Web Developer,62499,Maybe,44999.0,32.0,North America,Bachelor’s degree,Education,"Single, never married",0,1
10.0,1.0,0.0,0,Data Scientist,62499,Yes,27499.0,24.0,North America,Bachelor’s degree,"A social science (e.g., sociology, psychology, political science, economics)","Single, never married",0,1
3.0,24.0,300.0,0,Front-End Web Developer,87499,Yes,104999.0,50.0,North America,Bachelor’s degree,"A business discipline (e.g., accounting, finance, marketing)",Married or domestic partnership,0,1
10.0,11.0,0.0,0,Front-End Web Developer,62499,Maybe,12499.0,23.0,North America,Bachelor’s degree,"Fine arts or performing arts (e.g., graphic design, music, studio, art)",Married or domestic partnership,0,1
2.0,48.0,0.0,0,Data Scientist,112499,Maybe,67499.0,28.0,Europe and Central Asia,Master's degree (non-professional),"Another engineering discipline (e.g., civil, electrical, mechanical)",Married or domestic partnership,0,1
8.0,24.0,2000.0,0,Teacher / Trainer / Developer Evangelist,39999,I am not interested in a software development career,54999.0,40.0,North America,Ph.D.,"A natural science (e.g., biology, chemistry, physics)","Single, never married",0,1
8.0,12.0,50.0,0,Product Manager,24999,Yes,5999.0,23.0,South Asia,Bachelor’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)","Single, never married",0,1
15.0,48.0,0.0,1,Back-End Web Developer,39999,No,44999.0,29.0,Europe and Central Asia,Bachelor’s degree,"A business discipline (e.g., accounting, finance, marketing)",Married or domestic partnership,0,1
20.0,10.0,50.0,0,Front-End Web Developer,87499,No,8499.0,25.0,North America,Bachelor’s degree,"A health science (e.g., nursing, pharmacy, radiology)","Single, never married",0,1
4.0,40.0,0.0,1,Full-Stack Web Developer,15499,Maybe,1000.0,25.0,Middle East and North Africa,Master's degree (non-professional),"Information systems, information technology, or system administration","Single, never married",0,0
5.0,6.0,800.0,0,Full-Stack Web Developer,87499,Maybe,54999.0,48.0,East Asia and Pacific,Master's degree (non-professional),"A humanities discipline (e.g., literature, history, philosophy)",Married or domestic partnership,0,1
25.0,360.0,20000.0,1,Mobile Developer,39999,No,104999.0,53.0,North America,"Some college credit, no degree","Computer science, computer engineering, or software engineering",Married or domestic partnership,0,1
12.0,36.0,400.0,1,Front-End Web Developer,62499,Maybe,44999.0,27.0,North America,Bachelor’s degree,"Computer science, computer engineering, or software engineering","Single, never married",0,1
30.0,5.0,700.0,0,Full-Stack Web Developer,87499,Maybe,54999.0,50.0,North America,Bachelor’s degree,"A natural science (e.g., biology, chemistry, physics)",Married or domestic partnership,0,1
30.0,3.0,300.0,0,Data Scientist,15499,Maybe,3999.0,28.0,Latin America and Caribbean,Bachelor’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)",Married or domestic partnership,0,1
40.0,20.0,300.0,0,Full-Stack Web Developer,24999,Maybe,1999.0,20.0,Latin America and Caribbean,High school diploma or equivalent (GED),"Computer science, computer engineering, or software engineering","Single, never married",0,0
10.0,15.0,50.0,0,Full-Stack Web Developer,39999,Yes,17499.0,26.0,Europe and Central Asia,Bachelor’s degree,"A social science (e.g., sociology, psychology, political science, economics)","Single, never married",0,1
30.0,34.0,0.0,0,Full-Stack Web Developer,2499,Yes,1000.0,18.0,Middle East and North Africa,High school diploma or equivalent (GED),Laws,"Single, never married",0,0
10.0,57.0,10000.0,1,CTO,62499,No,104999.0,31.0,North America,Bachelor’s degree,anthro/econ,Married or domestic partnership,0,1
5.0,60.0,50.0,0,Data Scientist,2499,Yes,3999.0,23.0,Latin America and Caribbean,"Some college credit, no degree","Another engineering discipline (e.g., civil, electrical, mechanical)","Single, never married",0,1
30.0,5.0,200.0,0,Back-End Web Developer,62499,Yes,8499.0,32.0,Sub-Saharan Africa,Bachelor’s degree,"A natural science (e.g., biology, chemistry, physics)","Single, never married",0,1
1.0,6.0,0.0,0,Data Scientist,24999,Maybe,12499.0,29.0,Latin America and Caribbean,Bachelor’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)","Single, never married",0,1
10.0,60.0,3600.0,0,Full-Stack Web Developer,7499,Maybe,3999.0,33.0,South Asia,Bachelor’s degree,Visual Communication,Married or domestic partnership,0,1
4.0,2.0,0.0,0,Data Scientist,62499,No,67499.0,30.0,North America,Bachelor’s degree,"A business discipline (e.g., accounting, finance, marketing)",Married or domestic partnership,0,1
15.0,36.0,500.0,0,Data Scientist,62499,Maybe,1999.0,28.0,Europe and Central Asia,"Some college credit, no degree","Computer science, computer engineering, or software engineering","Single, never married",0,1
10.0,48.0,15.0,1,Full-Stack Web Developer,39999,Yes,1000.0,25.0,South Asia,Bachelor’s degree,"Computer science, computer engineering, or software engineering",Married or domestic partnership,0,1
15.0,24.0,50.0,0,Full-Stack Web Developer,62499,Maybe,67499.0,31.0,North America,Bachelor’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)",Married or domestic partnership,0,1
5.0,55.0,100.0,1,Data Scientist,24999,Maybe,32499.0,33.0,Europe and Central Asia,Master's degree (non-professional),"A natural science (e.g., biology, chemistry, physics)",Married or domestic partnership,0,1
5.0,20.0,0.0,0,Full-Stack Web Developer,24999,Yes,8499.0,42.0,Europe and Central Asia,Bachelor’s degree,"Information systems, information technology, or system administration","Single, never married",0,1
1.0,36.0,0.0,0,Data Scientist,62499,Maybe,32499.0,28.0,Latin America and Caribbean,Bachelor’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)","Single, never married",0,1
16.0,60.0,1341.0,1,Full-Stack Web Developer,87499,Yes,8499.0,27.0,South Asia,Bachelor’s degree,"Information systems, information technology, or system administration","Single, never married",0,1
10.0,36.0,10.0,0,Full-Stack Web Developer,15499,Maybe,1999.0,22.0,Latin America and Caribbean,Some high school,"Computer science, computer engineering, or software engineering","Single, never married",0,1
8.0,1.0,35.0,0,Full-Stack Web Developer,62499,Maybe,1999.0,32.0,North America,"Some college credit, no degree",Undecided or no major,"Single, never married",0,1
10.0,12.0,250.0,1,Front-End Web Developer,62499,Maybe,37499.0,25.0,North America,Bachelor’s degree,Kinesiology (Exercise Science & Health Promotion),Married or domestic partnership,0,1
10.0,16.0,100.0,0,Full-Stack Web Developer,87499,No,82499.0,36.0,North America,Bachelor’s degree,"Environmental science (e.g., earth sciences, sustainability)",Married or domestic partnership,0,1
10.0,2.0,0.0,0,Information Security,24999,Yes,12499.0,23.0,North America,"Some college credit, no degree","Fine arts or performing arts (e.g., graphic design, music, studio, art)","Single, never married",0,1
5.0,3.0,200.0,0,Full-Stack Web Developer,7499,Yes,17499.0,19.0,Europe and Central Asia,High school diploma or equivalent (GED),I didn't attend a university,"Single, never married",0,1
25.0,7.0,350.0,0,Full-Stack Web Developer,62499,Maybe,17499.0,25.0,North America,Bachelor’s degree,"Fine arts or performing arts (e.g., graphic design, music, studio, art)","Single, never married",0,1
14.0,24.0,25.0,0,Full-Stack Web Developer,24999,No,22499.0,33.0,Europe and Central Asia,Master's degree (non-professional),I didn't attend a university,Married or domestic partnership,0,1
1.0,24.0,15000.0,1,Information Security,24999,No,44999.0,30.0,Europe and Central Asia,Bachelor’s degree,"Fine arts or performing arts (e.g., graphic design, music, studio, art)","Single, never married",0,1
40.0,24.0,200.0,1,Front-End Web Developer,39999,No,44999.0,35.0,Europe and Central Asia,Master's degree (non-professional),"A humanities discipline (e.g., literature, history, philosophy)",Married or domestic partnership,0,1
10.0,42.0,500.0,1,Data Scientist,62499,Yes,44999.0,34.0,Southeast Asia,Bachelor’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)",Married or domestic partnership,0,1
10.0,36.0,100.0,1,Full-Stack Web Developer,39999,Yes,8499.0,23.0,North America,Bachelor’s degree,"Computer science, computer engineering, or software engineering","Single, never married",0,1
30.0,12.0,1500.0,0,Full-Stack Web Developer,24999,Maybe,67499.0,35.0,Europe and Central Asia,Master's degree (non-professional),"A social science (e.g., sociology, psychology, political science, economics)",Married or domestic partnership,0,1
10.0,60.0,100.0,1,Back-End Web Developer,87499,No,82499.0,41.0,Europe and Central Asia,Bachelor’s degree,PE Teacher,Married or domestic partnership,0,1
20.0,40.0,25000.0,1,Full-Stack Web Developer,87499,Maybe,104999.0,35.0,North America,"Professional degree (MBA, MD, JD, etc.)","A business discipline (e.g., accounting, finance, marketing)",Married or domestic partnership,0,1
20.0,36.0,100.0,0,Data Scientist,2499,Maybe,8499.0,25.0,North America,Bachelor’s degree,"A natural science (e.g., biology, chemistry, physics)","Single, never married",0,1
5.0,12.0,0.0,0,"Full-Stack, Front-end, back-end, Data Science, Security",62499,Maybe,22499.0,32.0,North America,Bachelor’s degree,"A humanities discipline (e.g., literature, history, philosophy)",Married or domestic partnership,0,1
20.0,6.0,100.0,0,Full-Stack Web Developer,62499,Maybe,3999.0,23.0,Sub-Saharan Africa,High school diploma or equivalent (GED),I didn't attend a university,Divorced,0,0
35.0,5.0,200.0,0,Product Manager,87499,Yes,54999.0,30.0,East Asia and Pacific,Bachelor’s degree,"A health science (e.g., nursing, pharmacy, radiology)",Married or domestic partnership,0,1
5.0,204.0,99.0,1,Product Manager,87499,No,82499.0,39.0,Europe and Central Asia,Bachelor’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)",Married or domestic partnership,0,1
20.0,36.0,200.0,1,Front-End Web Developer,39999,No,44999.0,40.0,Europe and Central Asia,Master's degree (non-professional),"Information systems, information technology, or system administration",Married or domestic partnership,0,1
20.0,10.0,125.0,0,Full-Stack Web Developer,62499,Yes,54999.0,38.0,Middle East and North Africa,Bachelor’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)",Married or domestic partnership,0,1
14.0,120.0,0.0,1,Data Engineer,15499,No,12499.0,26.0,Europe and Central Asia,Ph.D.,"Another engineering discipline (e.g., civil, electrical, mechanical)","Single, never married",0,1
2.0,18.0,300.0,0,Data Engineer,62499,Yes,67499.0,36.0,Europe and Central Asia,"Some college credit, no degree","A social science (e.g., sociology, psychology, political science, economics)",Married or domestic partnership,0,1
10.0,48.0,2000.0,1,Full-Stack Web Developer,62499,Yes,44999.0,29.0,Europe and Central Asia,High school diploma or equivalent (GED),I didn't attend a university,"Single, never married",0,1
18.0,11.0,600.0,0,Game Developer,7499,Yes,1999.0,28.0,Sub-Saharan Africa,"Some college credit, no degree",I didn't attend a university,"Single, never married",0,0
10.0,4.0,200.0,0,Back-End Web Developer,87499,Yes,12499.0,30.0,Sub-Saharan Africa,Associate’s degree,"Information systems, information technology, or system administration","Single, never married",0,1
7.0,60.0,0.0,1,Full-Stack Web Developer,62499,No,8499.0,24.0,Europe and Central Asia,Bachelor’s degree,Digital Media and Design,"Single, never married",0,1
15.0,5.0,150.0,0,Data Scientist,39999,Yes,5999.0,25.0,Latin America and Caribbean,Master's degree (non-professional),"Another engineering discipline (e.g., civil, electrical, mechanical)","Single, never married",0,1
15.0,45.0,400.0,0,Full-Stack Web Developer,87499,Yes,44999.0,63.0,North America,Bachelor’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)",Married or domestic partnership,0,1
3.0,40.0,500.0,1,Front-End Web Developer,62499,Maybe,54999.0,52.0,North America,"Professional degree (MBA, MD, JD, etc.)","A humanities discipline (e.g., literature, history, philosophy)",Married or domestic partnership,0,1
40.0,3.0,6000.0,0,Full-Stack Web Developer,39999,Yes,22499.0,32.0,Europe and Central Asia,Bachelor’s degree,"Another engineering discipline (e.g., civil, electrical, mechanical)",Married or domestic partnership,0,1
8.0,5.0,100.0,0,Full-Stack Web Developer,62499,Yes,67499.0,31.0,North America,"Some college credit, no degree","Another engineering discipline (e.g., civil, electrical, mechanical)",Married or domestic partnership,0,1
8.0,5.0,150.0,0,I don't know yet,39999,Yes,27499.0,25.0,Europe and Central Asia,High school diploma or equivalent (GED),I didn't attend a university,"Single, never married",0,1
3.0,48.0,100.0,1,Mobile Developer,2499,No,8499.0,27.0,Latin America and Caribbean,Bachelor’s degree,"Computer science, computer engineering, or software engineering",Married or domestic partnership,0,1
